,year,country,stateProvince,Latitude,Longitude,acceptedNameUsage,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank
14,1910.0,Spain,Cantabria,43.2,-3.91,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
15,1889.0,Spain,Gerona,42.01,2.6,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
16,1985.0,Spain,Andorra,42.5,1.51,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
17,1937.0,Spain,Andorra,42.5,1.51,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
18,1880.0,Spain,Gerona,41.81,2.51,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
19,2003.0,Spain,Cadiz,36.75,-5.8,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
20,2013.0,Spain,Jaen,37.96,-2.91,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
21,1998.0,Spain,Huesca,41.61,0.2,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
22,1938.0,Spain,Granada,37.48,-2.76,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
23,1978.0,Spain,Salamanca,40.38,-5.76,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
24,1881.0,Spain,La Coruna,43.41,-8.15,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
25,1925.0,Spain,Asturias,43.36,-5.83,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
26,1880.0,Spain,Barcelona,41.61,2.65,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
27,2003.0,Spain,Cadiz,36.76,-5.58,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
28,2002.0,Spain,Asturias,43.31,-5.05,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
29,2013.0,Spain,Jaen,37.77,-2.91,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
30,2013.0,Spain,Jaen,38.11,-2.8,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
31,2006.0,Portugal,Castelo Branco,40.38,-7.48,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
32,1937.0,Spain,Andorra,42.46,1.49,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
33,,Portugal,Faro,37.01,-7.93,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
34,1926.0,Spain,Tarragona,41.23,0.55,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
35,2006.0,Portugal,Guarda,40.47,-7.41,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
36,1998.0,Spain,Teruel,40.65,-0.88,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
37,1913.0,Spain,Asturias,43.54,-5.66,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
38,1998.0,Spain,Teruel,40.15,-1.03,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
39,1883.0,Spain,Barcelona,41.68,2.28,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
40,1910.0,Spain,Pontevedra,41.9,-8.88,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
41,2003.0,Spain,Huelva,37.86,-6.66,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
42,2006.0,Portugal,Guarda,40.34,-7.55,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
43,1927.0,Portugal,Faro,37.09,-8.67,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
44,2002.0,Spain,Asturias,43.31,-5.05,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
45,2003.0,Spain,Huelva,37.68,-6.65,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
46,1998.0,Spain,Zaragoza,41.8,-0.61,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
47,1920.0,Portugal,Lisboa,38.71,-9.13,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
48,1998.0,Spain,Zaragoza,41.63,-0.41,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
49,1910.0,Spain,Salamanca,40.5,-6.26,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
50,2002.0,Spain,Burgos,42.83,-3.41,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
51,1910.0,Spain,Cantabria,43.48,-3.52,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
52,2006.0,Portugal,Castelo Branco,40.37,-7.49,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
53,2013.0,Spain,Alava,43.0,-2.71,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
54,1985.0,Spain,Andorra,42.55,1.53,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
55,1937.0,Spain,Andorra,42.55,1.53,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
56,1998.0,Spain,Zaragoza,41.23,-0.03,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
57,1910.0,Spain,Madrid,40.36,-4.33,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
58,2012.0,Spain,La Coruna,43.22,-8.09,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
59,2003.0,Spain,Cadiz,36.53,-6.18,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
60,1926.0,Spain,Lerida,42.24,0.96,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
61,2009.0,Portugal,Beja,37.57,-7.53,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
62,2006.0,Portugal,Guarda,40.48,-7.63,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
63,1784.0,Spain,Huesca,42.06,-0.26,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
64,2006.0,Portugal,Guarda,40.43,-7.42,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
65,1937.0,Spain,Andorra,42.43,1.53,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
66,1998.0,Spain,Zaragoza,41.48,-0.53,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
67,2006.0,Portugal,Guarda,40.33,-7.53,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
68,1937.0,Spain,Andorra,42.45,1.46,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
69,1910.0,Spain,Madrid,40.5,-4.23,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
70,1885.0,Spain,Gerona,42.26,3.18,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
71,1898.0,Portugal,Porto,41.23,-8.2,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
72,,Portugal,Porto,41.15,-8.5,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
73,2006.0,Spain,Madrid,40.68,-3.61,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
74,2000.0,Spain,Huesca,42.51,-0.63,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
75,1910.0,Spain,Madrid,40.35,-4.4,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
76,2012.0,Spain,La Coruna,43.12,-8.68,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
77,1985.0,Spain,Andorra,42.46,1.49,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
78,1937.0,Spain,Andorra,42.46,1.49,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
79,1937.0,Spain,Andorra,42.5,1.53,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
80,1998.0,Spain,Huesca,41.76,-0.33,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
81,1938.0,Spain,Granada,37.13,-3.53,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
82,2002.0,Spain,Salamanca,,,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
83,1920.0,Portugal,Lisboa,38.8,-9.38,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
84,1937.0,Spain,Andorra,42.58,1.66,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
85,1878.0,Spain,Spain,,,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
86,1927.0,Portugal,Faro,37.12,-7.65,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
87,1900.0,Spain,Cuenca,39.98,-2.85,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
88,1910.0,Spain,Madrid,40.21,-3.2,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
89,2006.0,Portugal,Guarda,40.36,-7.52,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
90,1898.0,Portugal,Porto,41.18,-8.5,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
91,2006.0,Portugal,Guarda,40.34,-7.54,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
92,1998.0,Spain,Huesca,41.6,0.26,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
93,2013.0,Spain,Viscaya,43.26,-2.73,Agelena labyrinthica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,labyrinthica,Species
94,1925.0,Spain,Malaga,36.71,-4.41,Agelescape livida,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,livida,Species
95,1875.0,Spain,Spain,,,Agelescape livida,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,livida,Species
96,1880.0,Spain,Gerona,41.81,2.51,Allagelena gracilens,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,gracilens,Species
97,1885.0,Spain,Gerona,41.83,2.81,Allagelena gracilens,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,gracilens,Species
98,1887.0,Spain,Barcelona,41.61,2.65,Allagelena gracilens,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,gracilens,Species
99,1993.0,Spain,Barcelona,41.76,2.4,Allagelena gracilens,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,gracilens,Species
100,1972.0,Spain,Teruel,40.33,-1.61,Allagelena gracilens,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,gracilens,Species
101,1985.0,Spain,Huesca,42.56,-0.71,Allagelena gracilens,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,gracilens,Species
102,1998.0,Spain,Zaragoza,41.63,-0.88,Allagelena gracilens,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,gracilens,Species
103,1998.0,Spain,Huesca,41.6,0.26,Allagelena gracilens,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,gracilens,Species
104,2010.0,Spain,Spain,,,Aterigena ligurica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,ligurica,Species
105,1998.0,Spain,Zaragoza,41.48,-0.53,Benoitia lepida,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,lepida,Species
106,1998.0,Spain,Guipuzcoa,43.31,-1.98,Coelotes terrestris,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,terrestris,Species
107,1998.0,Spain,Navarra,43.22,-1.8,Coelotes terrestris,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,terrestris,Species
108,2009.0,Spain,Navarra,43.22,-1.8,Coelotes terrestris,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,terrestris,Species
109,1999.0,Spain,Guipuzcoa,43.31,-1.98,Coelotes terrestris,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,terrestris,Species
110,1998.0,Spain,Navarra,42.81,-1.63,Coelotes terrestris,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,terrestris,Species
111,1999.0,Spain,Navarra,42.91,-1.96,Coelotes terrestris,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,terrestris,Species
112,2013.0,Spain,Baleares,39.99,4.23,Eratigena agrestis,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agrestis,Species
113,1881.0,Spain,La Coruna,43.41,-8.15,Eratigena agrestis,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agrestis,Species
114,1880.0,Spain,Barcelona,41.61,2.65,Eratigena agrestis,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agrestis,Species
115,1985.0,Spain,Spain,,,Eratigena agrestis,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agrestis,Species
116,2014.0,Spain,Burgos,43.03,-3.61,Eratigena agrestis,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agrestis,Species
117,2014.0,Spain,Burgos,43.02,-3.68,Eratigena agrestis,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agrestis,Species
118,1927.0,Portugal,Viseu,40.62,-7.8,Eratigena agrestis,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agrestis,Species
119,1910.0,Spain,Pontevedra,41.9,-8.88,Eratigena agrestis,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agrestis,Species
120,2013.0,Spain,Madrid,40.4,-3.68,Eratigena agrestis,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agrestis,Species
121,1954.0,Spain,Granada,37.13,-3.53,Eratigena agrestis,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agrestis,Species
122,1928.0,Portugal,Vila Real,41.26,-7.61,Eratigena agrestis,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agrestis,Species
123,2013.0,Spain,Madrid,40.67,-4.09,Eratigena agrestis,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agrestis,Species
124,1985.0,Spain,Huesca,42.56,-0.71,Eratigena agrestis,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agrestis,Species
125,2013.0,Spain,Spain,,,Eratigena agrestis,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agrestis,Species
126,1881.0,Spain,La Coruna,43.15,-8.93,Eratigena agrestis,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agrestis,Species
127,1914.0,Spain,Tarragona,40.8,0.51,Eratigena agrestis,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,agrestis,Species
128,1978.0,Spain,Salamanca,40.96,-5.65,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
129,1978.0,Spain,Salamanca,40.81,-5.51,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
130,1988.0,Spain,Madrid,40.31,-4.2,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
131,1988.0,Spain,Salamanca,41.01,-5.66,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
132,1988.0,Spain,Soria,41.68,-2.2,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
133,2013.0,Spain,Almeria,36.83,-2.45,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
134,2006.0,Portugal,Guarda,40.35,-7.52,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
135,1988.0,Spain,Burgos,42.65,-4.16,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
136,1988.0,Spain,Castellon,40.45,-0.13,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
137,1988.0,Spain,Avila,41.06,-4.71,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
138,1875.0,Spain,La Rioja,42.21,-2.23,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
139,1988.0,Spain,Valladolid,41.46,-4.58,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
140,1988.0,Spain,Leon,42.45,-6.05,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
141,1977.0,Spain,Barcelona,41.45,1.66,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
142,1977.0,Spain,Barcelona,41.66,2.63,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
143,1977.0,Spain,Tarragona,40.9,0.26,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
144,1977.0,Spain,Gerona,41.93,2.76,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
145,2003.0,Spain,Guipuzcoa,43.31,-1.98,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
146,2013.0,Spain,Leon,42.63,-5.62,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
147,2013.0,Spain,Cantabria,43.41,-3.5,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
148,2006.0,Portugal,Guarda,40.4,-7.59,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
149,1988.0,Spain,Valencia,39.46,-0.36,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
150,1911.0,Portugal,Lisboa,39.07,-9.25,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
151,1977.0,Spain,Gerona,42.31,2.83,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
152,2003.0,Spain,Viscaya,43.26,-2.9,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
153,1991.0,Spain,Salamanca,40.38,-5.76,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
154,1979.0,Spain,Barcelona,41.38,2.18,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
155,1988.0,Spain,Leon,42.61,-6.41,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
156,1978.0,Spain,Zamora,42.0,-5.68,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
157,1986.0,Spain,Huesca,42.63,0.21,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
158,1998.0,Spain,Huesca,42.63,0.21,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
159,1978.0,Spain,Avila,40.8,-5.08,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
160,2013.0,Spain,Valladolid,41.53,-4.68,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
161,1988.0,Spain,Huesca,42.43,0.66,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
162,1985.0,Spain,Gerona,41.98,2.81,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
163,1920.0,Portugal,Braga,41.55,-8.42,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
164,1938.0,Portugal,Aveiro,40.37,-8.36,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
165,1988.0,Spain,Burgos,42.35,-3.7,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
166,2013.0,Spain,Jaen,37.93,-2.95,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
167,1881.0,Spain,La Coruna,43.41,-8.15,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
168,1988.0,Spain,Huelva,37.96,-6.32,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
169,2013.0,Spain,Jaen,37.92,-2.92,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
170,2013.0,Spain,Jaen,38.26,-2.61,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
171,1988.0,Spain,Gerona,42.31,2.36,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
172,2013.0,Portugal,Faro,37.12,-7.92,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
173,1977.0,Spain,Andorra,42.46,1.5,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
174,2013.0,Spain,Leon,42.16,-6.18,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
175,1988.0,Spain,Leon,42.31,-5.28,Eratigena atrica,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Agelena,atrica,Species
